symbol,start,end,days,latestPrice,ath,change
IBM,2018-01-02,2024-03-04,1552,193.059998,193.059998,0.0
CAT,2018-01-02,2024-03-04,1552,338.649994,338.649994,0.0
JPM,2018-01-02,2024-03-04,1552,186.679993,186.679993,0.0
NVDA,2018-01-02,2024-03-04,1552,852.369995,852.369995,0.0
AMD,2018-01-02,2024-03-04,1552,205.360001,205.360001,0.0
AVGO,2018-01-02,2024-03-04,1552,1402.26001,1402.26001,0.0
LLY,2018-01-02,2024-03-04,1552,792.280029,792.280029,0.0
ISRG,2018-01-02,2024-03-04,1552,400.589996,400.589996,0.0
COST,2018-01-02,2024-03-04,1552,759.179993,759.179993,0.0
AXP,2018-01-02,2024-03-04,1552,218.910004,219.660004,-0.34143675969340326
AMAT,2018-01-02,2024-03-04,1552,209.490005,210.25,-0.36147205707491253
LRCX,2018-01-02,2024-03-04,1552,977.52002,981.530029,-0.40854674656112516
WMT,2018-01-02,2024-03-04,1552,59.299999,59.619999,-0.5367326490562341
CRM,2018-01-02,2024-03-04,1552,314.640015,316.880005,-0.7068890320170178
META,2018-01-02,2024-03-04,1552,498.190002,502.299988,-0.8182333462448723
ABBV,2018-01-02,2024-03-04,1552,177.050003,178.990005,-1.0838605205916345
TMUS,2018-01-02,2024-03-04,1552,163.339996,165.160004,-1.1019665511754124
MSFT,2018-01-02,2024-03-04,1552,414.920013,420.549988,-1.338717194304141
TRV,2018-01-02,2024-03-04,1552,219.070007,222.300003,-1.4529896340127353
V,2018-01-02,2024-03-04,1552,280.529999,285.630005,-1.7855287997491747
MA,2018-01-02,2024-03-04,1552,468.48999,478.850006,-2.163520073131216
PG,2018-01-02,2024-03-04,1552,159.559998,164.210007,-2.831745205394202
MCD,2018-01-02,2024-03-04,1552,290.940002,300.529999,-3.191028194160405
INTU,2018-01-02,2024-03-04,1552,668.409973,694.659973,-3.7788271989582447
MRK,2018-01-02,2024-03-04,1552,124.050003,129.449997,-4.171490247311472
AMZN,2018-01-02,2024-03-04,1552,177.580002,186.570496,-4.818818726836629
VRTX,2018-01-02,2024-03-04,1552,424.029999,446.079987,-4.943056994843403
GS,2018-01-02,2024-03-04,1552,392.25,423.850006,-7.455469046283322
HD,2018-01-02,2024-03-04,1552,380.369995,416.179993,-8.60444966175969
KO,2018-01-02,2024-03-04,1552,59.810001,66.209999,-9.666210688207375
NFLX,2018-01-02,2024-03-04,1552,615.830017,691.690002,-10.967338660476987
BKNG,2018-01-02,2024-03-04,1552,3461.399902,3901.98999,-11.29142025297712
AAPL,2018-01-02,2024-03-04,1552,175.100006,198.110001,-11.614756894579997
QCOM,2018-01-02,2024-03-04,1552,166.559998,189.279999,-12.003381825884306
GOOGL,2018-01-02,2024-03-04,1552,133.350006,153.509995,-13.132688200530524
XOM,2018-01-02,2024-03-04,1552,104.360001,120.199997,-13.178033606772885
UNH,2018-01-02,2024-03-04,1552,481.869995,555.150024,-13.200040679454245
GOOG,2018-01-02,2024-03-04,1552,134.199997,154.839996,-13.329888616116998
AMGN,2018-01-02,2024-03-04,1552,279.390015,324.559998,-13.917298274077512
JNJ,2018-01-02,2024-03-04,1552,159.839996,186.009995,-14.06913590853007
TXN,2018-01-02,2024-03-04,1552,172.440002,201.289993,-14.33255104738367
HON,2018-01-02,2024-03-04,1552,199.240005,234.179993,-14.92014221727302
PEP,2018-01-02,2024-03-04,1552,165.369995,196.119995,-15.679176414419144
ADBE,2018-01-02,2024-03-04,1552,567.940002,688.369995,-17.494950952939192
DOW,2019-03-20,2024-03-04,1248,57.02,70.910004,-19.588214943550135
PANW,2018-01-02,2024-03-04,1552,299.440002,376.899994,-20.551868727278354
CVX,2018-01-02,2024-03-04,1552,148.880005,188.050003,-20.829565208781194
CSCO,2018-01-02,2024-03-04,1552,49.130001,63.959999,-23.186363714608568
SBUX,2018-01-02,2024-03-04,1552,92.459999,126.059998,-26.65397392755789
BAC,2018-01-02,2024-03-04,1552,35.150002,49.380001,-28.81733234472798
CMCSA,2018-01-02,2024-03-04,1552,41.849998,61.75,-32.22672388663968
INTC,2018-01-02,2024-03-04,1552,45.610001,68.470001,-33.386884279437936
VZ,2018-01-02,2024-03-04,1552,40.310001,62.07,-35.05719188013533
DIS,2018-01-02,2024-03-04,1552,113.690002,201.910004,-43.692734511559905
NKE,2018-01-02,2024-03-04,1552,99.540001,177.509995,-43.92428381286361
TSLA,2018-01-02,2024-03-04,1552,188.139999,409.970001,-54.108837587850736
BA,2018-01-02,2024-03-04,1552,200.539993,440.619995,-54.48686049755867
MMM,2018-01-02,2024-03-04,1552,91.440002,258.630005,-64.64447270918933
WBA,2018-01-02,2024-03-04,1552,20.58,85.690002,-75.98319579920188
