index,name,symbol,percentage,category
1,Unitedhealth Group Inc,UNH,8.902782,DIA
2,Microsoft Corp,MSFT,6.882032,DIA
3,Goldman Sachs Group Inc,GS,6.569872,DIA
4,Home Depot Inc,HD,6.194837,DIA
5,Caterpillar Inc,CAT,5.360532,DIA
6,Mcdonald S Corp,MCD,5.00019,DIA
7,Salesforce Inc,CRM,4.893232,DIA
8,Amgen Inc,AMGN,4.844025,DIA
9,Visa Inc Class A Shares,V,4.701187,DIA
10,Travelers Cos Inc,TRV,3.760608,DIA
11,American Express Co,AXP,3.630584,DIA
12,Boeing Co,BA,3.474761,DIA
13,Honeywell International Inc,HON,3.39907,DIA
14,Intl Business Machines Corp,IBM,3.134238,DIA
15,Apple Inc,AAPL,3.102117,DIA
16,Jpmorgan Chase & Co,JPM,3.07085,DIA
17,Walmart Inc,WMT,3.004727,DIA
18,Procter & Gamble Co,PG,2.708287,DIA
19,Johnson & Johnson,JNJ,2.697181,DIA
20,Chevron Corp,CVX,2.631229,DIA
21,Merck & Co. Inc.,MRK,2.176232,DIA
22,Walt Disney Co,DIS,1.869881,DIA
23,Nike Inc  Cl B,NKE,1.764974,DIA
24,3m Co,MMM,1.568828,DIA
25,Coca Cola Co,KO,1.037114,DIA
26,Dow Inc,DOW,0.93477,DIA
27,Cisco Systems Inc,CSCO,0.824908,DIA
28,Intel Corp,INTC,0.760664,DIA
29,Verizon Communications Inc,VZ,0.691979,DIA
30,Walgreens Boots Alliance Inc,WBA,0.381187,DIA
1,Microsoft Corp,MSFT,8.841,QQQ
2,Apple Inc,AAPL,8.339,QQQ
3,Amazon.com Inc,AMZN,5.099,QQQ
4,NVIDIA Corp,NVDA,5.066,QQQ
5,Meta Platforms Inc,META,4.914,QQQ
6,Broadcom Inc,AVGO,4.37,QQQ
7,Tesla Inc,TSLA,2.753,QQQ
8,Alphabet Inc,GOOGL,2.466,QQQ
9,Costco Wholesale Corp,COST,2.451,QQQ
10,Alphabet Inc,GOOG,2.404,QQQ
11,Advanced Micro Devices Inc,AMD,2.042,QQQ
12,Netflix Inc,NFLX,1.92,QQQ
13,Adobe Inc,ADBE,1.882,QQQ
14,PepsiCo Inc,PEP,1.769,QQQ
15,Cisco Systems Inc,CSCO,1.496,QQQ
16,Intel Corp,INTC,1.432,QQQ
17,T-Mobile US Inc,TMUS,1.429,QQQ
18,Intuit Inc,INTU,1.379,QQQ
19,QUALCOMM Inc,QCOM,1.29,QQQ
20,Comcast Corp,CMCSA,1.276,QQQ
21,Applied Materials Inc,AMAT,1.205,QQQ
22,Amgen Inc,AMGN,1.157,QQQ
23,Texas Instruments Inc,TXN,1.127,QQQ
24,Intuitive Surgical Inc,ISRG,1.014,QQQ
25,Honeywell International Inc,HON,1,QQQ
26,Booking Holdings Inc,BKNG,0.985,QQQ
27,Lam Research Corp,LRCX,0.905,QQQ
28,Palo Alto Networks Inc,PANW,0.88,QQQ
29,Vertex Pharmaceuticals Inc,VRTX,0.827,QQQ
30,Starbucks Corp,SBUX,0.81,QQQ
31,Automatic Data Processing Inc,ADP,0.794,QQQ
32,Regeneron Pharmaceuticals Inc,REGN,0.774,QQQ
33,Mondelez International Inc,MDLZ,0.76,QQQ
34,Analog Devices Inc,ADI,0.717,QQQ
35,Gilead Sciences Inc,GILD,0.685,QQQ
36,Micron Technology Inc,MU,0.679,QQQ
37,KLA Corp,KLAC,0.676,QQQ
38,MercadoLibre Inc,MELI,0.671,QQQ
39,PDD Holdings Inc ADR,PDD,0.669,QQQ
40,Synopsys Inc,SNPS,0.636,QQQ
41,ASML Holding NV,ASML,0.609,QQQ
42,Cadence Design Systems Inc,CDNS,0.606,QQQ
43,Crowdstrike Holdings Inc,CRWD,0.562,QQQ
44,CSX Corp,CSX,0.556,QQQ
45,Marriott International Inc/MD,MAR,0.543,QQQ
46,Airbnb Inc,ABNB,0.491,QQQ
47,PayPal Holdings Inc,PYPL,0.482,QQQ
48,Workday Inc,WDAY,0.481,QQQ
49,Cintas Corp,CTAS,0.478,QQQ
50,O'Reilly Automotive Inc,ORLY,0.467,QQQ
51,NXP Semiconductors NV,NXPI,0.455,QQQ
52,Roper Technologies Inc,ROP,0.443,QQQ
53,Monster Beverage Corp,MNST,0.44,QQQ
54,PACCAR Inc,PCAR,0.429,QQQ
55,Marvell Technology Inc,MRVL,0.428,QQQ
56,Autodesk Inc,ADSK,0.416,QQQ
57,Lululemon Athletica Inc,LULU,0.412,QQQ
58,Fortinet Inc,FTNT,0.398,QQQ
59,Ross Stores Inc,ROST,0.373,QQQ
60,Copart Inc,CPRT,0.355,QQQ
61,IDEXX Laboratories Inc,IDXX,0.349,QQQ
62,Old Dominion Freight Line Inc,ODFL,0.349,QQQ
63,Dexcom Inc,DXCM,0.347,QQQ
64,Paychex Inc,PAYX,0.343,QQQ
65,Microchip Technology Inc,MCHP,0.34,QQQ
66,Kraft Heinz Co/The,KHC,0.333,QQQ
67,Keurig Dr Pepper Inc,KDP,0.333,QQQ
68,Charter Communications Inc,CHTR,0.333,QQQ
69,DoorDash Inc,DASH,0.327,QQQ
70,American Electric Power Co Inc,AEP,0.324,QQQ
71,Constellation Energy Corp,CEG,0.321,QQQ
72,Fastenal Co,FAST,0.305,QQQ
73,GE HealthCare Technologies Inc,GEHC,0.3,QQQ
74,Datadog Inc,DDOG,0.294,QQQ
75,Cognizant Technology Solutions Corp,CTSH,0.293,QQQ
76,Electronic Arts Inc,EA,0.29,QQQ
77,AstraZeneca PLC ADR,AZN,0.289,QQQ
78,Zscaler Inc,ZS,0.282,QQQ
79,Trade Desk Inc/The,TTD,0.281,QQQ
80,Verisk Analytics Inc,VRSK,0.275,QQQ
81,Exelon Corp,EXC,0.264,QQQ
82,ON Semiconductor Corp,ON,0.255,QQQ
83,CoStar Group Inc,CSGP,0.253,QQQ
84,Moderna Inc,MRNA,0.253,QQQ
85,Xcel Energy Inc,XEL,0.249,QQQ
86,CDW Corp/DE,CDW,0.247,QQQ
87,Dollar Tree Inc,DLTR,0.243,QQQ
88,Diamondback Energy Inc,FANG,0.243,QQQ
89,Biogen Inc,BIIB,0.242,QQQ
90,Atlassian Corp,TEAM,0.242,QQQ
91,MongoDB Inc,MDB,0.242,QQQ
92,Coca-Cola Europacific Partners PLC,CCEP,0.238,QQQ
93,GLOBALFOUNDRIES Inc,GFS,0.228,QQQ
94,Baker Hughes Co,BKR,0.223,QQQ
95,ANSYS Inc,ANSS,0.22,QQQ
96,Splunk Inc,SPLK,0.2,QQQ
97,Take-Two Interactive Software Inc,TTWO,0.197,QQQ
98,Warner Bros Discovery Inc,WBD,0.184,QQQ
99,Illumina Inc,ILMN,0.17,QQQ
100,Walgreens Boots Alliance Inc,WBA,0.147,QQQ
101,Sirius XM Holdings Inc,SIRI,0.139,QQQ
1,Microsoft Corp,MSFT,7.13,SPY
2,Apple Inc.,AAPL,6.33,SPY
3,Nvidia Corp,NVDA,4.26,SPY
4,Amazon.com Inc,AMZN,3.66,SPY
5,"Meta Platforms, Inc. Class A",META,2.50,SPY
6,Alphabet Inc. Class A,GOOGL,1.98,SPY
7,Berkshire Hathaway Class B,BRK.B,1.75,SPY
8,Alphabet Inc. Class C,GOOG,1.68,SPY
9,Eli Lilly & Co.,LLY,1.48,SPY
10,"Tesla, Inc.",TSLA,1.31,SPY
11,Broadcom Inc.,AVGO,1.30,SPY
12,Jpmorgan Chase & Co.,JPM,1.23,SPY
13,Unitedhealth Group Incorporated,UNH,1.15,SPY
14,Visa Inc.,V,1.05,SPY
15,Exxon Mobil Corporation,XOM,0.99,SPY
16,Mastercard Incorporated,MA,0.92,SPY
17,Johnson & Johnson,JNJ,0.90,SPY
18,Procter & Gamble Company,PG,0.88,SPY
19,"Home Depot, Inc.",HD,0.86,SPY
20,"Merck & Co., Inc.",MRK,0.77,SPY
21,Costco Wholesale Corp,COST,0.76,SPY
22,Abbvie Inc.,ABBV,0.74,SPY
23,"Salesforce, Inc.",CRM,0.67,SPY
24,Advanced Micro Devices,AMD,0.67,SPY
25,Chevron Corporation,CVX,0.64,SPY
26,Netflix Inc,NFLX,0.61,SPY
27,Adobe Inc.,ADBE,0.59,SPY
28,Walmart Inc.,WMT,0.58,SPY
29,Bank of America Corporation,BAC,0.56,SPY
30,Accenture Plc,ACN,0.55,SPY
31,Coca-Cola Company,KO,0.55,SPY
32,"Pepsico, Inc.",PEP,0.54,SPY
33,Mcdonald's Corporation,MCD,0.50,SPY
34,"Thermo Fisher Scientific, Inc.",TMO,0.50,SPY
35,Linde Plc,LIN,0.50,SPY
36,The Walt Disney Company,DIS,0.49,SPY
37,Abbott Laboratories,ABT,0.47,SPY
38,"Cisco Systems, Inc.",CSCO,0.47,SPY
39,Wells Fargo & Co.,WFC,0.45,SPY
40,Intuit Inc,INTU,0.44,SPY
41,Intel Corp,INTC,0.44,SPY
42,Oracle Corp,ORCL,0.42,SPY
43,International Business Machines Corporation,IBM,0.41,SPY
44,Verizon Communications,VZ,0.40,SPY
45,Qualcomm Inc,QCOM,0.40,SPY
46,Applied Materials Inc,AMAT,0.40,SPY
47,Comcast Corp,CMCSA,0.39,SPY
48,Danaher Corporation,DHR,0.39,SPY
49,Caterpillar Inc.,CAT,0.39,SPY
50,General Electric Company,GE,0.39,SPY
51,"Uber Technologies, Inc.",UBER,0.38,SPY
52,"Servicenow, Inc.",NOW,0.37,SPY
53,Pfizer Inc.,PFE,0.37,SPY
54,Amgen Inc,AMGN,0.36,SPY
55,Union Pacific Corp.,UNP,0.36,SPY
56,Texas Instruments Incorporated,TXN,0.35,SPY
57,Philip Morris International Inc.,PM,0.33,SPY
58,S&p Global Inc.,SPGI,0.33,SPY
59,Intuitive Surgical Inc.,ISRG,0.32,SPY
60,Conocophillips,COP,0.31,SPY
61,Lowe's Companies Inc.,LOW,0.31,SPY
62,Rtx Corporation,RTX,0.31,SPY
63,"Honeywell International, Inc.",HON,0.31,SPY
